State,District,Market,Commodity,Arrival_Date,Modal_Price,Arrivals
Maharashtra,Nashik,Lasalgaon,Onion,07/04/1999,434.2,36.3
Maharashtra,Nashik,Lasalgaon,Onion,09/04/1999,428.37,29.7
Maharashtra,Nashik,Lasalgaon,Onion,11/04/1999,423.03,47.2
Maharashtra,Nashik,Lasalgaon,Onion,13/04/1999,430.39,50.3
Maharashtra,Nashik,Lasalgaon,Onion,15/04/1999,431.8,63.7
Maharashtra,Nashik,Lasalgaon,Onion,17/04/1999,417.73,69.6
Maharashtra,Nashik,Lasalgaon,Onion,19/04/1999,425.23,61.9
Maharashtra,Nashik,Lasalgaon,Onion,21/04/1999,431.25,60.6
Maharashtra,Nashik,Lasalgaon,Onion,23/04/1999,431.29,34.8
Maharashtra,Nashik,Lasalgaon,Onion,25/04/1999,421.27,50.5
Maharashtra,Nashik,Lasalgaon,Onion,27/04/1999,432.42,77.5
Maharashtra,Nashik,Lasalgaon,Onion,29/04/1999,449.93,48.8
Maharashtra,Nashik,Lasalgaon,Onion,01/05/1999,431.46,28.8
Maharashtra,Nashik,Lasalgaon,Onion,03/05/1999,410.56,60.3
Maharashtra,Nashik,Lasalgaon,Onion,05/05/1999,421.98,78.0
Maharashtra,Nashik,Lasalgaon,Onion,07/05/1999,415.68,68.5
Maharashtra,Nashik,Lasalgaon,Onion,09/05/1999,410.71,31.8
Maharashtra,Nashik,Lasalgaon,Onion,11/05/1999,438.88,51.0
Maharashtra,Nashik,Lasalgaon,Onion,13/05/1999,416.55,45.9
Maharashtra,Nashik,Lasalgaon,Onion,15/05/1999,397.28,42.7
Maharashtra,Nashik,Lasalgaon,Onion,17/05/1999,399.49,49.5
Maharashtra,Nashik,Lasalgaon,Onion,19/05/1999,414.21,26.0
Maharashtra,Nashik,Lasalgaon,Onion,21/05/1999,413.54,36.3
Maharashtra,Nashik,Lasalgaon,Onion,23/05/1999,401.33,77.1
Maharashtra,Nashik,Lasalgaon,Onion,25/05/1999,402.16,14.3
Maharashtra,Nashik,Lasalgaon,Onion,27/05/1999,409.81,68.0
Maharashtra,Nashik,Lasalgaon,Onion,29/05/1999,399.89,15.8
Maharashtra,Nashik,Lasalgaon,Onion,31/05/1999,396.59,30.7
Maharashtra,Nashik,Lasalgaon,Onion,02/06/1999,394.02,39.1
Maharashtra,Nashik,Lasalgaon,Onion,04/06/1999,403.05,52.0
Maharashtra,Nashik,Lasalgaon,Onion,06/06/1999,403.69,70.5
Maharashtra,Nashik,Lasalgaon,Onion,08/06/1999,394.32,52.4
Maharashtra,Nashik,Lasalgaon,Onion,10/06/1999,392.67,32.8
Maharashtra,Nashik,Lasalgaon,Onion,12/06/1999,381.91,39.7
Maharashtra,Nashik,Lasalgaon,Onion,14/06/1999,375.29,37.6
Maharashtra,Nashik,Lasalgaon,Onion,16/06/1999,392.79,22.7
Maharashtra,Nashik,Lasalgaon,Onion,18/06/1999,370.57,18.4
Maharashtra,Nashik,Lasalgaon,Onion,20/06/1999,371.22,23.9
Maharashtra,Nashik,Lasalgaon,Onion,22/06/1999,371.26,40.0
Maharashtra,Nashik,Lasalgaon,Onion,24/06/1999,368.82,55.5
Maharashtra,Nashik,Lasalgaon,Onion,26/06/1999,379.07,46.1
Maharashtra,Nashik,Lasalgaon,Onion,28/06/1999,362.02,55.2
Maharashtra,Nashik,Lasalgaon,Onion,30/06/1999,345.6,28.9
Maharashtra,Nashik,Lasalgaon,Onion,02/07/1999,357.44,18.4
Maharashtra,Nashik,Lasalgaon,Onion,04/07/1999,361.3,69.0
Maharashtra,Nashik,Lasalgaon,Onion,06/07/1999,351.63,72.5
Maharashtra,Nashik,Lasalgaon,Onion,08/07/1999,348.96,42.3
Maharashtra,Nashik,Lasalgaon,Onion,10/07/1999,353.72,33.9
Maharashtra,Nashik,Lasalgaon,Onion,12/07/1999,363.14,33.6
Maharashtra,Nashik,Lasalgaon,Onion,14/07/1999,345.39,21.5
Maharashtra,Nashik,Lasalgaon,Onion,16/07/1999,349.96,65.5
Maharashtra,Nashik,Lasalgaon,Onion,18/07/1999,339.65,27.6
Maharashtra,Nashik,Lasalgaon,Onion,20/07/1999,345.08,52.6
Maharashtra,Nashik,Lasalgaon,Onion,22/07/1999,341.82,53.2
Maharashtra,Nashik,Lasalgaon,Onion,24/07/1999,339.81,55.5
Maharashtra,Nashik,Lasalgaon,Onion,26/07/1999,342.76,67.6
Maharashtra,Nashik,Lasalgaon,Onion,28/07/1999,331.19,62.4
Maharashtra,Nashik,Lasalgaon,Onion,30/07/1999,336.73,33.8
Maharashtra,Nashik,Lasalgaon,Onion,01/08/1999,335.02,52.0
Maharashtra,Nashik,Lasalgaon,Onion,03/08/1999,331.02,54.9
Maharashtra,Nashik,Lasalgaon,Onion,05/08/1999,314.02,47.5
Maharashtra,Nashik,Lasalgaon,Onion,07/08/1999,316.4,55.9
Maharashtra,Nashik,Lasalgaon,Onion,09/08/1999,315.84,34.8
Maharashtra,Nashik,Lasalgaon,Onion,11/08/1999,314.09,56.9
Maharashtra,Nashik,Lasalgaon,Onion,13/08/1999,325.65,18.5
Maharashtra,Nashik,Lasalgaon,Onion,15/08/1999,311.19,31.8
Maharashtra,Nashik,Lasalgaon,Onion,17/08/1999,323.48,30.1
Maharashtra,Nashik,Lasalgaon,Onion,19/08/1999,309.17,32.6
Maharashtra,Nashik,Lasalgaon,Onion,21/08/1999,310.34,59.8
Maharashtra,Nashik,Lasalgaon,Onion,23/08/1999,301.99,49.8
Maharashtra,Nashik,Lasalgaon,Onion,25/08/1999,306.23,39.8
Maharashtra,Nashik,Lasalgaon,Onion,27/08/1999,318.73,32.7
Maharashtra,Nashik,Lasalgaon,Onion,29/08/1999,318.34,22.5
Maharashtra,Nashik,Lasalgaon,Onion,31/08/1999,300.35,30.3
Maharashtra,Nashik,Lasalgaon,Onion,02/09/1999,301.76,59.4
Maharashtra,Nashik,Lasalgaon,Onion,04/09/1999,314.38,65.8
Maharashtra,Nashik,Lasalgaon,Onion,06/09/1999,295.29,55.2
Maharashtra,Nashik,Lasalgaon,Onion,08/09/1999,298.79,84.1
Maharashtra,Nashik,Lasalgaon,Onion,10/09/1999,303.29,69.9
Maharashtra,Nashik,Lasalgaon,Onion,12/09/1999,303.25,49.5
Maharashtra,Nashik,Lasalgaon,Onion,14/09/1999,304.22,62.3
Maharashtra,Nashik,Lasalgaon,Onion,16/09/1999,296.46,62.1
Maharashtra,Nashik,Lasalgaon,Onion,18/09/1999,287.48,50.8
Maharashtra,Nashik,Lasalgaon,Onion,20/09/1999,303.2,41.0
Maharashtra,Nashik,Lasalgaon,Onion,22/09/1999,298.39,26.9
Maharashtra,Nashik,Lasalgaon,Onion,24/09/1999,293.38,29.0
Maharashtra,Nashik,Lasalgaon,Onion,26/09/1999,295.82,66.7
Maharashtra,Nashik,Lasalgaon,Onion,28/09/1999,311.04,81.2
Maharashtra,Nashik,Lasalgaon,Onion,30/09/1999,304.56,64.7
Maharashtra,Nashik,Lasalgaon,Onion,02/10/1999,292.0,44.5
Maharashtra,Nashik,Lasalgaon,Onion,04/10/1999,286.57,22.7
Maharashtra,Nashik,Lasalgaon,Onion,06/10/1999,297.96,48.4
Maharashtra,Nashik,Lasalgaon,Onion,08/10/1999,284.29,60.5
Maharashtra,Nashik,Lasalgaon,Onion,10/10/1999,304.91,32.3
Maharashtra,Nashik,Lasalgaon,Onion,12/10/1999,300.51,49.4
Maharashtra,Nashik,Lasalgaon,Onion,14/10/1999,297.66,49.6
Maharashtra,Nashik,Lasalgaon,Onion,16/10/1999,302.23,46.2
Maharashtra,Nashik,Lasalgaon,Onion,18/10/1999,287.62,31.5
Maharashtra,Nashik,Lasalgaon,Onion,20/10/1999,295.65,59.3
Maharashtra,Nashik,Lasalgaon,Onion,22/10/1999,302.13,47.4
Maharashtra,Nashik,Lasalgaon,Onion,24/10/1999,312.59,63.6
Maharashtra,Nashik,Lasalgaon,Onion,26/10/1999,296.99,28.0
Maharashtra,Nashik,Lasalgaon,Onion,28/10/1999,300.9,39.1
Maharashtra,Nashik,Lasalgaon,Onion,30/10/1999,314.02,74.0
Maharashtra,Nashik,Lasalgaon,Onion,01/11/1999,298.75,27.4
Maharashtra,Nashik,Lasalgaon,Onion,03/11/1999,312.88,47.5
Maharashtra,Nashik,Lasalgaon,Onion,05/11/1999,318.08,28.8
Maharashtra,Nashik,Lasalgaon,Onion,07/11/1999,315.3,29.0
Maharashtra,Nashik,Lasalgaon,Onion,09/11/1999,310.77,58.7
Maharashtra,Nashik,Lasalgaon,Onion,11/11/1999,326.71,26.3
Maharashtra,Nashik,Lasalgaon,Onion,13/11/1999,318.12,27.6
Maharashtra,Nashik,Lasalgaon,Onion,15/11/1999,320.05,33.9
Maharashtra,Nashik,Lasalgaon,Onion,17/11/1999,319.87,27.6
Maharashtra,Nashik,Lasalgaon,Onion,19/11/1999,324.48,51.1
Maharashtra,Nashik,Lasalgaon,Onion,21/11/1999,335.35,77.3
Maharashtra,Nashik,Lasalgaon,Onion,23/11/1999,339.34,82.7
Maharashtra,Nashik,Lasalgaon,Onion,25/11/1999,343.04,65.8
Maharashtra,Nashik,Lasalgaon,Onion,27/11/1999,341.92,49.4
Maharashtra,Nashik,Lasalgaon,Onion,29/11/1999,344.1,41.0
Maharashtra,Nashik,Lasalgaon,Onion,01/12/1999,335.35,29.1
Maharashtra,Nashik,Lasalgaon,Onion,03/12/1999,337.02,43.6
Maharashtra,Nashik,Lasalgaon,Onion,05/12/1999,349.57,50.6
Maharashtra,Nashik,Lasalgaon,Onion,07/12/1999,340.39,40.2
Maharashtra,Nashik,Lasalgaon,Onion,09/12/1999,344.89,70.3
Maharashtra,Nashik,Lasalgaon,Onion,11/12/1999,345.98,41.6
Maharashtra,Nashik,Lasalgaon,Onion,13/12/1999,351.73,67.4
Maharashtra,Nashik,Lasalgaon,Onion,15/12/1999,360.0,42.3
Maharashtra,Nashik,Lasalgaon,Onion,17/12/1999,343.92,52.1
Maharashtra,Nashik,Lasalgaon,Onion,19/12/1999,355.21,22.4
Maharashtra,Nashik,Lasalgaon,Onion,21/12/1999,370.16,67.7
Maharashtra,Nashik,Lasalgaon,Onion,23/12/1999,382.69,42.0
Maharashtra,Nashik,Lasalgaon,Onion,25/12/1999,365.41,72.9
Maharashtra,Nashik,Lasalgaon,Onion,27/12/1999,369.0,45.1
Maharashtra,Nashik,Lasalgaon,Onion,29/12/1999,374.53,37.8
Maharashtra,Nashik,Lasalgaon,Onion,31/12/1999,377.89,40.2
Maharashtra,Nashik,Lasalgaon,Onion,02/01/2000,384.23,29.3
Maharashtra,Nashik,Lasalgaon,Onion,04/01/2000,374.66,43.8
Maharashtra,Nashik,Lasalgaon,Onion,06/01/2000,392.51,32.5
Maharashtra,Nashik,Lasalgaon,Onion,08/01/2000,392.4,50.1
Maharashtra,Nashik,Lasalgaon,Onion,10/01/2000,393.7,49.2
Maharashtra,Nashik,Lasalgaon,Onion,12/01/2000,397.5,39.4
Maharashtra,Nashik,Lasalgaon,Onion,14/01/2000,383.52,63.0
Maharashtra,Nashik,Lasalgaon,Onion,16/01/2000,392.23,40.1
Maharashtra,Nashik,Lasalgaon,Onion,18/01/2000,402.34,41.5
Maharashtra,Nashik,Lasalgaon,Onion,20/01/2000,404.57,53.8
Maharashtra,Nashik,Lasalgaon,Onion,22/01/2000,399.69,43.6
Maharashtra,Nashik,Lasalgaon,Onion,24/01/2000,411.52,46.0
Maharashtra,Nashik,Lasalgaon,Onion,26/01/2000,400.69,46.5
Maharashtra,Nashik,Lasalgaon,Onion,28/01/2000,406.24,49.7
Maharashtra,Nashik,Lasalgaon,Onion,30/01/2000,420.41,45.1
Maharashtra,Nashik,Lasalgaon,Onion,01/02/2000,409.55,42.5
Maharashtra,Nashik,Lasalgaon,Onion,03/02/2000,414.44,43.4
Maharashtra,Nashik,Lasalgaon,Onion,05/02/2000,421.85,31.9
Maharashtra,Nashik,Lasalgaon,Onion,07/02/2000,424.84,35.7
Maharashtra,Nashik,Lasalgaon,Onion,09/02/2000,434.93,60.9
Maharashtra,Nashik,Lasalgaon,Onion,11/02/2000,443.59,38.6
Maharashtra,Nashik,Lasalgaon,Onion,13/02/2000,424.95,6.7
Maharashtra,Nashik,Lasalgaon,Onion,15/02/2000,426.18,5.0
Maharashtra,Nashik,Lasalgaon,Onion,17/02/2000,434.19,57.8
Maharashtra,Nashik,Lasalgaon,Onion,19/02/2000,415.56,40.5
Maharashtra,Nashik,Lasalgaon,Onion,21/02/2000,433.29,70.2
Maharashtra,Nashik,Lasalgaon,Onion,23/02/2000,439.6,39.2
Maharashtra,Nashik,Lasalgaon,Onion,25/02/2000,439.93,41.6
Maharashtra,Nashik,Lasalgaon,Onion,27/02/2000,444.84,22.0
Maharashtra,Nashik,Lasalgaon,Onion,29/02/2000,437.06,33.4
Maharashtra,Nashik,Lasalgaon,Onion,02/03/2000,440.12,54.0
Maharashtra,Nashik,Lasalgaon,Onion,04/03/2000,440.14,59.6
Maharashtra,Nashik,Lasalgaon,Onion,06/03/2000,444.2,41.4
Maharashtra,Nashik,Lasalgaon,Onion,08/03/2000,458.41,37.9
Maharashtra,Nashik,Lasalgaon,Onion,10/03/2000,464.51,39.0
Maharashtra,Nashik,Lasalgaon,Onion,12/03/2000,448.67,67.0
Maharashtra,Nashik,Lasalgaon,Onion,14/03/2000,459.27,45.4
Maharashtra,Nashik,Lasalgaon,Onion,16/03/2000,465.37,52.0
Maharashtra,Nashik,Lasalgaon,Onion,18/03/2000,442.24,54.1
Maharashtra,Nashik,Lasalgaon,Onion,20/03/2000,449.85,42.7
Maharashtra,Nashik,Lasalgaon,Onion,22/03/2000,476.73,48.2
Maharashtra,Nashik,Lasalgaon,Onion,24/03/2000,465.01,55.4
Maharashtra,Nashik,Lasalgaon,Onion,26/03/2000,440.98,30.4
Maharashtra,Nashik,Lasalgaon,Onion,28/03/2000,458.75,69.7
Maharashtra,Nashik,Lasalgaon,Onion,30/03/2000,453.97,62.3
Maharashtra,Nashik,Lasalgaon,Onion,01/04/2000,468.84,49.3
Maharashtra,Nashik,Lasalgaon,Onion,03/04/2000,444.55,44.3
Maharashtra,Nashik,Lasalgaon,Onion,05/04/2000,456.93,60.4
Maharashtra,Nashik,Lasalgaon,Onion,07/04/2000,454.32,25.8
Maharashtra,Nashik,Lasalgaon,Onion,09/04/2000,461.6,32.3
Maharashtra,Nashik,Lasalgaon,Onion,11/04/2000,465.97,38.2
Maharashtra,Nashik,Lasalgaon,Onion,13/04/2000,454.93,66.7
Maharashtra,Nashik,Lasalgaon,Onion,15/04/2000,440.14,36.8
Maharashtra,Nashik,Lasalgaon,Onion,17/04/2000,438.07,20.4
Maharashtra,Nashik,Lasalgaon,Onion,19/04/2000,457.17,73.8
Maharashtra,Nashik,Lasalgaon,Onion,21/04/2000,445.64,35.4
Maharashtra,Nashik,Lasalgaon,Onion,23/04/2000,451.55,18.3
Maharashtra,Nashik,Lasalgaon,Onion,25/04/2000,460.19,40.4
Maharashtra,Nashik,Lasalgaon,Onion,27/04/2000,451.35,49.2
Maharashtra,Nashik,Lasalgaon,Onion,29/04/2000,444.85,58.9
Maharashtra,Nashik,Lasalgaon,Onion,01/05/2000,457.16,46.2
Maharashtra,Nashik,Lasalgaon,Onion,03/05/2000,464.43,51.2
Maharashtra,Nashik,Lasalgaon,Onion,05/05/2000,456.34,31.1
Maharashtra,Nashik,Lasalgaon,Onion,07/05/2000,467.82,45.1
Maharashtra,Nashik,Lasalgaon,Onion,09/05/2000,464.74,29.2
Maharashtra,Nashik,Lasalgaon,Onion,11/05/2000,464.61,70.5
Maharashtra,Nashik,Lasalgaon,Onion,13/05/2000,439.97,50.9
Maharashtra,Nashik,Lasalgaon,Onion,15/05/2000,454.7,76.0
Maharashtra,Nashik,Lasalgaon,Onion,17/05/2000,443.0,40.7
Maharashtra,Nashik,Lasalgaon,Onion,19/05/2000,439.61,57.7
Maharashtra,Nashik,Lasalgaon,Onion,21/05/2000,430.19,49.0
Maharashtra,Nashik,Lasalgaon,Onion,23/05/2000,432.42,50.8
Maharashtra,Nashik,Lasalgaon,Onion,25/05/2000,432.17,54.4
Maharashtra,Nashik,Lasalgaon,Onion,27/05/2000,426.36,27.8
Maharashtra,Nashik,Lasalgaon,Onion,29/05/2000,425.17,54.1
Maharashtra,Nashik,Lasalgaon,Onion,31/05/2000,418.57,52.3
Maharashtra,Nashik,Lasalgaon,Onion,02/06/2000,432.69,39.0
Maharashtra,Nashik,Lasalgaon,Onion,04/06/2000,420.38,58.5
Maharashtra,Nashik,Lasalgaon,Onion,06/06/2000,416.73,40.0
Maharashtra,Nashik,Lasalgaon,Onion,08/06/2000,427.5,41.9
Maharashtra,Nashik,Lasalgaon,Onion,10/06/2000,422.61,22.4
Maharashtra,Nashik,Lasalgaon,Onion,12/06/2000,426.35,59.4
Maharashtra,Nashik,Lasalgaon,Onion,14/06/2000,401.75,41.6
Maharashtra,Nashik,Lasalgaon,Onion,16/06/2000,403.91,53.8
Maharashtra,Nashik,Lasalgaon,Onion,18/06/2000,399.92,48.5
Maharashtra,Nashik,Lasalgaon,Onion,20/06/2000,395.02,41.1
Maharashtra,Nashik,Lasalgaon,Onion,22/06/2000,392.48,31.7
Maharashtra,Nashik,Lasalgaon,Onion,24/06/2000,413.74,64.7
Maharashtra,Nashik,Lasalgaon,Onion,26/06/2000,395.33,40.0
Maharashtra,Nashik,Lasalgaon,Onion,28/06/2000,391.65,50.8
Maharashtra,Nashik,Lasalgaon,Onion,30/06/2000,402.92,63.5
Maharashtra,Nashik,Lasalgaon,Onion,02/07/2000,396.09,58.4
Maharashtra,Nashik,Lasalgaon,Onion,04/07/2000,378.56,34.1
Maharashtra,Nashik,Lasalgaon,Onion,06/07/2000,378.81,37.1
Maharashtra,Nashik,Lasalgaon,Onion,08/07/2000,381.24,38.8
Maharashtra,Nashik,Lasalgaon,Onion,10/07/2000,387.24,57.2
Maharashtra,Nashik,Lasalgaon,Onion,12/07/2000,376.3,45.5
Maharashtra,Nashik,Lasalgaon,Onion,14/07/2000,373.07,43.2
Maharashtra,Nashik,Lasalgaon,Onion,16/07/2000,349.13,43.0
Maharashtra,Nashik,Lasalgaon,Onion,18/07/2000,357.04,57.3
Maharashtra,Nashik,Lasalgaon,Onion,20/07/2000,388.05,36.5
Maharashtra,Nashik,Lasalgaon,Onion,22/07/2000,383.28,29.7
Maharashtra,Nashik,Lasalgaon,Onion,24/07/2000,361.91,66.2
Maharashtra,Nashik,Lasalgaon,Onion,26/07/2000,364.18,70.5
Maharashtra,Nashik,Lasalgaon,Onion,28/07/2000,340.29,43.5
Maharashtra,Nashik,Lasalgaon,Onion,30/07/2000,342.13,42.5
Maharashtra,Nashik,Lasalgaon,Onion,01/08/2000,357.06,23.6
Maharashtra,Nashik,Lasalgaon,Onion,03/08/2000,362.68,52.9
Maharashtra,Nashik,Lasalgaon,Onion,05/08/2000,345.79,41.6
Maharashtra,Nashik,Lasalgaon,Onion,07/08/2000,337.63,54.9
Maharashtra,Nashik,Lasalgaon,Onion,09/08/2000,334.05,47.7
Maharashtra,Nashik,Lasalgaon,Onion,11/08/2000,329.62,72.6
Maharashtra,Nashik,Lasalgaon,Onion,13/08/2000,341.66,57.3
Maharashtra,Nashik,Lasalgaon,Onion,15/08/2000,339.37,44.3
Maharashtra,Nashik,Lasalgaon,Onion,17/08/2000,340.75,71.4
Maharashtra,Nashik,Lasalgaon,Onion,19/08/2000,340.9,52.2
Maharashtra,Nashik,Lasalgaon,Onion,21/08/2000,335.47,28.4
Maharashtra,Nashik,Lasalgaon,Onion,23/08/2000,334.73,59.2
Maharashtra,Nashik,Lasalgaon,Onion,25/08/2000,335.86,41.6
Maharashtra,Nashik,Lasalgaon,Onion,27/08/2000,336.94,52.4
Maharashtra,Nashik,Lasalgaon,Onion,29/08/2000,318.64,63.4
Maharashtra,Nashik,Lasalgaon,Onion,31/08/2000,336.08,29.7
Maharashtra,Nashik,Lasalgaon,Onion,02/09/2000,324.64,29.5
Maharashtra,Nashik,Lasalgaon,Onion,04/09/2000,324.41,50.6
Maharashtra,Nashik,Lasalgaon,Onion,06/09/2000,322.8,49.0
Maharashtra,Nashik,Lasalgaon,Onion,08/09/2000,331.31,71.5
Maharashtra,Nashik,Lasalgaon,Onion,10/09/2000,321.96,26.5
Maharashtra,Nashik,Lasalgaon,Onion,12/09/2000,313.6,69.8
Maharashtra,Nashik,Lasalgaon,Onion,14/09/2000,323.35,23.2
Maharashtra,Nashik,Lasalgaon,Onion,16/09/2000,322.62,49.7
Maharashtra,Nashik,Lasalgaon,Onion,18/09/2000,320.98,66.7
Maharashtra,Nashik,Lasalgaon,Onion,20/09/2000,299.82,60.1
Maharashtra,Nashik,Lasalgaon,Onion,22/09/2000,306.33,54.6
Maharashtra,Nashik,Lasalgaon,Onion,24/09/2000,321.3,52.1
Maharashtra,Nashik,Lasalgaon,Onion,26/09/2000,305.62,29.2
Maharashtra,Nashik,Lasalgaon,Onion,28/09/2000,313.39,54.7
Maharashtra,Nashik,Lasalgaon,Onion,30/09/2000,316.78,44.0
Maharashtra,Nashik,Lasalgaon,Onion,02/10/2000,324.52,23.4
Maharashtra,Nashik,Lasalgaon,Onion,04/10/2000,316.23,11.8
Maharashtra,Nashik,Lasalgaon,Onion,06/10/2000,319.76,39.7
Maharashtra,Nashik,Lasalgaon,Onion,08/10/2000,316.59,47.0
Maharashtra,Nashik,Lasalgaon,Onion,10/10/2000,334.68,41.5
Maharashtra,Nashik,Lasalgaon,Onion,12/10/2000,331.16,80.1
Maharashtra,Nashik,Lasalgaon,Onion,14/10/2000,322.7,43.8
Maharashtra,Nashik,Lasalgaon,Onion,16/10/2000,319.36,39.2
Maharashtra,Nashik,Lasalgaon,Onion,18/10/2000,324.74,49.1
Maharashtra,Nashik,Lasalgaon,Onion,20/10/2000,318.74,35.0
Maharashtra,Nashik,Lasalgaon,Onion,22/10/2000,325.91,35.8
Maharashtra,Nashik,Lasalgaon,Onion,24/10/2000,327.66,26.9
Maharashtra,Nashik,Lasalgaon,Onion,26/10/2000,331.18,46.2
Maharashtra,Nashik,Lasalgaon,Onion,28/10/2000,321.1,62.8
Maharashtra,Nashik,Lasalgaon,Onion,30/10/2000,342.98,50.0
Maharashtra,Nashik,Lasalgaon,Onion,01/11/2000,340.63,49.9
Maharashtra,Nashik,Lasalgaon,Onion,03/11/2000,333.28,58.2
Maharashtra,Nashik,Lasalgaon,Onion,05/11/2000,325.41,52.8
Maharashtra,Nashik,Lasalgaon,Onion,07/11/2000,341.67,63.2
Maharashtra,Nashik,Lasalgaon,Onion,09/11/2000,361.25,42.9
Maharashtra,Nashik,Lasalgaon,Onion,11/11/2000,332.53,53.6
Maharashtra,Nashik,Lasalgaon,Onion,13/11/2000,331.04,54.2
Maharashtra,Nashik,Lasalgaon,Onion,15/11/2000,337.34,27.6
Maharashtra,Nashik,Lasalgaon,Onion,17/11/2000,340.12,54.3
Maharashtra,Nashik,Lasalgaon,Onion,19/11/2000,353.56,54.8
Maharashtra,Nashik,Lasalgaon,Onion,21/11/2000,341.27,38.3
Maharashtra,Nashik,Lasalgaon,Onion,23/11/2000,353.87,53.8
Maharashtra,Nashik,Lasalgaon,Onion,25/11/2000,354.74,52.5
Maharashtra,Nashik,Lasalgaon,Onion,27/11/2000,370.33,22.8
Maharashtra,Nashik,Lasalgaon,Onion,29/11/2000,359.36,23.4
Maharashtra,Nashik,Lasalgaon,Onion,01/12/2000,373.73,42.8
Maharashtra,Nashik,Lasalgaon,Onion,03/12/2000,370.28,45.6
Maharashtra,Nashik,Lasalgaon,Onion,05/12/2000,359.57,33.3
Maharashtra,Nashik,Lasalgaon,Onion,07/12/2000,373.18,41.2
Maharashtra,Nashik,Lasalgaon,Onion,09/12/2000,372.03,63.0
Maharashtra,Nashik,Lasalgaon,Onion,11/12/2000,369.5,54.8
Maharashtra,Nashik,Lasalgaon,Onion,13/12/2000,374.52,43.1
